0,11,0,2,1,0,0,1,1,1,0,0,410
0,11,0,2,1,0,1,0,0,0,0,0,410
0,11,0,2,1,0,1,0,0,1,0,0,410
0,11,0,2,1,0,1,0,1,0,0,0,410
0,11,0,2,1,0,1,0,1,1,0,0,410
0,11,0,2,1,0,1,1,0,0,0,0,410
0,11,0,2,1,0,1,1,0,1,0,0,410
0,11,0,2,1,0,1,1,1,0,0,0,410
0,11,0,2,1,0,1,1,1,1,0,0,410
0,11,0,2,1,1,0,0,0,0,0,0,410
0,11,0,2,1,1,0,0,0,1,0,0,410
0,11,0,2,1,1,0,0,1,0,0,0,410
0,11,0,2,1,1,0,0,1,1,0,0,410
0,11,0,2,1,1,0,1,0,0,0,0,410
0,11,0,2,1,1,0,1,0,1,0,0,410
0,11,0,2,1,1,0,1,1,0,0,0,410
0,11,0,2,1,1,0,1,1,1,0,0,410
0,11,0,2,1,1,1,0,0,0,0,0,410
0,11,0,2,1,1,1,0,0,1,0,0,410
0,11,0,2,1,1,1,0,1,0,0,0,410
0,11,0,2,1,1,1,0,1,1,0,0,410
0,11,0,2,1,1,1,1,0,0,0,0,410
0,11,0,2,1,1,1,1,0,1,0,0,410
0,11,0,2,1,1,1,1,1,0,0,0,410
0,11,0,2,1,1,1,1,1,1,0,0,410
0,11,0,2,1,2,0,0,0,0,0,0,410
0,11,0,2,1,2,0,0,0,1,0,0,410
0,11,0,2,1,2,0,0,1,0,0,0,410
0,11,0,2,1,2,0,0,1,1,0,0,410
0,11,0,2,1,2,0,1,0,0,0,0,410
0,11,0,2,1,2,0,1,0,1,0,0,410
0,11,0,2,1,2,0,1,1,0,0,0,410
0,11,0,2,1,2,0,1,1,1,0,0,410
0,11,0,2,1,2,1,0,0,0,0,0,410
0,11,0,2,1,2,1,0,0,1,0,0,410
0,11,0,2,1,2,1,0,1,0,0,0,410
0,11,0,2,1,2,1,0,1,1,0,0,410
0,11,0,2,1,2,1,1,0,0,0,0,410
0,11,0,2,1,2,1,1,0,1,0,0,410
0,11,0,2,1,2,1,1,1,0,0,0,410
0,11,0,2,1,2,1,1,1,1,0,0,410
0,11,0,2,1,3,0,0,0,0,0,0,410
0,11,0,2,1,3,0,0,0,1,0,0,410
0,11,0,2,1,3,0,0,1,0,0,0,410
0,11,0,2,1,3,0,0,1,1,0,0,410
0,11,0,2,1,3,0,1,0,0,0,0,410
0,11,0,2,1,3,0,1,0,1,0,0,410
0,11,0,2,1,3,0,1,1,0,0,0,410
0,11,0,2,1,3,0,1,1,1,0,0,410
0,11,0,2,1,3,1,0,0,0,0,0,410
0,11,0,2,1,3,1,0,0,1,0,0,410
0,11,0,2,1,3,1,0,1,0,0,0,410
0,11,0,2,1,3,1,0,1,1,0,0,410
0,11,0,2,1,3,1,1,0,0,0,0,410
0,11,0,2,1,3,1,1,0,1,0,0,410
0,11,0,2,1,3,1,1,1,0,0,0,410
0,11,0,2,1,3,1,1,1,1,0,0,410
0,11,0,2,1,4,0,0,0,0,0,0,410
0,11,0,2,1,4,0,0,0,1,0,0,410
0,11,0,2,1,4,0,0,1,0,0,0,410
0,11,0,2,1,4,0,0,1,1,0,0,410
0,11,0,2,1,4,0,1,0,0,0,0,410
0,11,0,2,1,4,0,1,0,1,0,0,410
0,11,0,2,1,4,0,1,1,0,0,0,410
0,11,0,2,1,4,0,1,1,1,0,0,410
0,11,0,2,1,4,1,0,0,0,0,0,410
0,11,0,2,1,4,1,0,0,1,0,0,410
0,11,0,2,1,4,1,0,1,0,0,0,410
0,11,0,2,1,4,1,0,1,1,0,0,410
0,11,0,2,1,4,1,1,0,0,0,0,410
0,11,0,2,1,4,1,1,0,1,0,0,410
0,11,0,2,1,4,1,1,1,0,0,0,410
0,11,0,2,1,4,1,1,1,1,0,0,410
0,11,0,2,1,5,0,0,0,0,0,0,410
0,11,0,2,1,5,0,0,0,1,0,0,410
0,11,0,2,1,5,0,0,1,0,0,0,410
0,11,0,2,1,5,0,0,1,1,0,0,410
0,11,0,2,1,5,0,1,0,0,0,0,410
0,11,0,2,1,5,0,1,0,1,0,0,410
0,11,0,2,1,5,0,1,1,0,0,0,410
0,11,0,2,1,5,0,1,1,1,0,0,410
0,11,0,2,1,5,1,0,0,0,0,0,410
0,11,0,2,1,5,1,0,0,1,0,0,410
0,11,0,2,1,5,1,0,1,0,0,0,410
0,11,0,2,1,5,1,0,1,1,0,0,410
0,11,0,2,1,5,1,1,0,0,0,0,410
0,11,0,2,1,5,1,1,0,1,0,0,410
0,11,0,2,1,5,1,1,1,0,0,0,410
0,11,0,2,1,5,1,1,1,1,0,0,410
0,11,0,2,2,0,0,0,0,0,0,0,410
0,11,0,2,2,0,0,0,0,1,0,0,410
0,11,0,2,2,0,0,0,1,0,0,0,410
0,11,0,2,2,0,0,0,1,1,0,0,410
0,11,0,2,2,0,0,1,0,0,0,0,410
0,11,0,2,2,0,0,1,0,1,0,0,410
0,11,0,2,2,0,0,1,1,0,0,0,410
0,11,0,2,2,0,0,1,1,1,0,0,410
0,11,0,2,2,0,1,0,0,0,0,0,410
0,11,0,2,2,0,1,0,0,1,0,0,410
0,11,0,2,2,0,1,0,1,0,0,0,410
0,11,0,2,2,0,1,0,1,1,0,0,410
0,11,0,2,2,0,1,1,0,0,0,0,410
0,11,0,2,2,0,1,1,0,1,0,0,410
0,11,0,2,2,0,1,1,1,0,0,0,410
0,11,0,2,2,0,1,1,1,1,0,0,410
0,11,0,2,2,1,0,0,0,0,0,0,410
0,11,0,2,2,1,0,0,0,1,0,0,410
0,11,0,2,2,1,0,0,1,0,0,0,410
0,11,0,2,2,1,0,0,1,1,0,0,410
0,11,0,2,2,1,0,1,0,0,0,0,410
0,11,0,2,2,1,0,1,0,1,0,0,410
0,11,0,2,2,1,0,1,1,0,0,0,410
0,11,0,2,2,1,0,1,1,1,0,0,410
0,11,0,2,2,1,1,0,0,0,0,0,410
0,11,0,2,2,1,1,0,0,1,0,0,410
0,11,0,2,2,1,1,0,1,0,0,0,410
0,11,0,2,2,1,1,0,1,1,0,0,410
0,11,0,2,2,1,1,1,0,0,0,0,410
0,11,0,2,2,1,1,1,0,1,0,0,410
0,11,0,2,2,1,1,1,1,0,0,0,410
0,11,0,2,2,1,1,1,1,1,0,0,410
0,11,0,2,2,2,0,0,0,0,0,0,410
0,11,0,2,2,2,0,0,0,1,0,0,410
0,11,0,2,2,2,0,0,1,0,0,0,410
0,11,0,2,2,2,0,0,1,1,0,0,410
0,11,0,2,2,2,0,1,0,0,0,0,410
0,11,0,2,2,2,0,1,0,1,0,0,410
0,11,0,2,2,2,0,1,1,0,0,0,410
0,11,0,2,2,2,0,1,1,1,0,0,410
0,11,0,2,2,2,1,0,0,0,0,0,410
0,11,0,2,2,2,1,0,0,1,0,0,410
0,11,0,2,2,2,1,0,1,0,0,0,410
0,11,0,2,2,2,1,0,1,1,0,0,410
0,11,0,2,2,2,1,1,0,0,0,0,410
0,11,0,2,2,2,1,1,0,1,0,0,410
0,11,0,2,2,2,1,1,1,0,0,0,410
0,11,0,2,2,2,1,1,1,1,0,0,410
0,11,0,2,2,3,0,0,0,0,0,0,410
0,11,0,2,2,3,0,0,0,1,0,0,410
0,11,0,2,2,3,0,0,1,0,0,0,410
0,11,0,2,2,3,0,0,1,1,0,0,410
0,11,0,2,2,3,0,1,0,0,0,0,410
0,11,0,2,2,3,0,1,0,1,0,0,410
0,11,0,2,2,3,0,1,1,0,0,0,410
0,11,0,2,2,3,0,1,1,1,0,0,410
0,11,0,2,2,3,1,0,0,0,0,0,410
0,11,0,2,2,3,1,0,0,1,0,0,410
0,11,0,2,2,3,1,0,1,0,0,0,410
0,11,0,2,2,3,1,0,1,1,0,0,410
0,11,0,2,2,3,1,1,0,0,0,0,410
0,11,0,2,2,3,1,1,0,1,0,0,410
0,11,0,2,2,3,1,1,1,0,0,0,410
0,11,0,2,2,3,1,1,1,1,0,0,410
0,11,0,2,2,4,0,0,0,0,0,0,410
0,11,0,2,2,4,0,0,0,1,0,0,410
0,11,0,2,2,4,0,0,1,0,0,0,410
0,11,0,2,2,4,0,0,1,1,0,0,410
0,11,0,2,2,4,0,1,0,0,0,0,410
0,11,0,2,2,4,0,1,0,1,0,0,410
0,11,0,2,2,4,0,1,1,0,0,0,410
0,11,0,2,2,4,0,1,1,1,0,0,410
0,11,0,2,2,4,1,0,0,0,0,0,410
0,11,0,2,2,4,1,0,0,1,0,0,410
0,11,0,2,2,4,1,0,1,0,0,0,410
0,11,0,2,2,4,1,0,1,1,0,0,410
0,11,0,2,2,4,1,1,0,0,0,0,410
0,11,0,2,2,4,1,1,0,1,0,0,410
0,11,0,2,2,4,1,1,1,0,0,0,410
0,11,0,2,2,4,1,1,1,1,0,0,410
0,11,0,2,2,5,0,0,0,0,0,0,410
0,11,0,2,2,5,0,0,0,1,0,0,410
0,11,0,2,2,5,0,0,1,0,0,0,410
0,11,0,2,2,5,0,0,1,1,0,0,410
0,11,0,2,2,5,0,1,0,0,0,0,410
0,11,0,2,2,5,0,1,0,1,0,0,410
0,11,0,2,2,5,0,1,1,0,0,0,410
0,11,0,2,2,5,0,1,1,1,0,0,410
0,11,0,2,2,5,1,0,0,0,0,0,410
0,11,0,2,2,5,1,0,0,1,0,0,410
0,11,0,2,2,5,1,0,1,0,0,0,410
0,11,0,2,2,5,1,0,1,1,0,0,410
0,11,0,2,2,5,1,1,0,0,0,0,410
0,11,0,2,2,5,1,1,0,1,0,0,410
0,11,0,2,2,5,1,1,1,0,0,0,410
0,11,0,2,2,5,1,1,1,1,0,0,410
0,11,0,2,3,0,0,0,0,0,0,0,410
0,11,0,2,3,0,0,0,0,1,0,0,410
0,11,0,2,3,0,0,0,1,0,0,0,410
0,11,0,2,3,0,0,0,1,1,0,0,410
0,11,0,2,3,0,0,1,0,0,0,0,410
0,11,0,2,3,0,0,1,0,1,0,0,410
0,11,0,2,3,0,0,1,1,0,0,0,410
0,11,0,2,3,0,0,1,1,1,0,0,410
0,11,0,2,3,0,1,0,0,0,0,0,410
0,11,0,2,3,0,1,0,0,1,0,0,410
0,11,0,2,3,0,1,0,1,0,0,0,410
0,11,0,2,3,0,1,0,1,1,0,0,410
0,11,0,2,3,0,1,1,0,0,0,0,410
0,11,0,2,3,0,1,1,0,1,0,0,410
0,11,0,2,3,0,1,1,1,0,0,0,410
0,11,0,2,3,0,1,1,1,1,0,0,410
0,11,0,2,3,1,0,0,0,0,0,0,410
0,11,0,2,3,1,0,0,0,1,0,0,410
0,11,0,2,3,1,0,0,1,0,0,0,410
0,11,0,2,3,1,0,0,1,1,0,0,410
0,11,0,2,3,1,0,1,0,0,0,0,410
0,11,0,2,3,1,0,1,0,1,0,0,410
0,11,0,2,3,1,0,1,1,0,0,0,410
0,11,0,2,3,1,0,1,1,1,0,0,410
0,11,0,2,3,1,1,0,0,0,0,0,410
0,11,0,2,3,1,1,0,0,1,0,0,410
0,11,0,2,3,1,1,0,1,0,0,0,410
0,11,0,2,3,1,1,0,1,1,0,0,410
0,11,0,2,3,1,1,1,0,0,0,0,410
0,11,0,2,3,1,1,1,0,1,0,0,410
0,11,0,2,3,1,1,1,1,0,0,0,410
0,11,0,2,3,1,1,1,1,1,0,0,410
0,11,0,2,3,2,0,0,0,0,0,0,410
0,11,0,2,3,2,0,0,0,1,0,0,410
0,11,0,2,3,2,0,0,1,0,0,0,410
0,11,0,2,3,2,0,0,1,1,0,0,410
0,11,0,2,3,2,0,1,0,0,0,0,410
0,11,0,2,3,2,0,1,0,1,0,0,410
0,11,0,2,3,2,0,1,1,0,0,0,410
0,11,0,2,3,2,0,1,1,1,0,0,410
0,11,0,2,3,2,1,0,0,0,0,0,410
0,11,0,2,3,2,1,0,0,1,0,0,410
0,11,0,2,3,2,1,0,1,0,0,0,410
0,11,0,2,3,2,1,0,1,1,0,0,410
0,11,0,2,3,2,1,1,0,0,0,0,410
0,11,0,2,3,2,1,1,0,1,0,0,410
0,11,0,2,3,2,1,1,1,0,0,0,410
0,11,0,2,3,2,1,1,1,1,0,0,410
0,11,0,2,3,3,0,0,0,0,0,0,410
0,11,0,2,3,3,0,0,0,1,0,0,410
0,11,0,2,3,3,0,0,1,0,0,0,410
0,11,0,2,3,3,0,0,1,1,0,0,410
0,11,0,2,3,3,0,1,0,0,0,0,410
0,11,0,2,3,3,0,1,0,1,0,0,410
0,11,0,2,3,3,0,1,1,0,0,0,410
0,11,0,2,3,3,0,1,1,1,0,0,410
0,11,0,2,3,3,1,0,0,0,0,0,410
0,11,0,2,3,3,1,0,0,1,0,0,410
0,11,0,2,3,3,1,0,1,0,0,0,410
0,11,0,2,3,3,1,0,1,1,0,0,410
0,11,0,2,3,3,1,1,0,0,0,0,410
0,11,0,2,3,3,1,1,0,1,0,0,410
0,11,0,2,3,3,1,1,1,0,0,0,410
0,11,0,2,3,3,1,1,1,1,0,0,410
0,11,0,2,3,4,0,0,0,0,0,0,410
0,11,0,2,3,4,0,0,0,1,0,0,410
0,11,0,2,3,4,0,0,1,0,0,0,410
0,11,0,2,3,4,0,0,1,1,0,0,410
0,11,0,2,3,4,0,1,0,0,0,0,410
0,11,0,2,3,4,0,1,0,1,0,0,410
0,11,0,2,3,4,0,1,1,0,0,0,410
0,11,0,2,3,4,0,1,1,1,0,0,410
0,11,0,2,3,4,1,0,0,0,0,0,410
0,11,0,2,3,4,1,0,0,1,0,0,410
0,11,0,2,3,4,1,0,1,0,0,0,410
0,11,0,2,3,4,1,0,1,1,0,0,410
0,11,0,2,3,4,1,1,0,0,0,0,410
0,11,0,2,3,4,1,1,0,1,0,0,410
0,11,0,2,3,4,1,1,1,0,0,0,410
0,11,0,2,3,4,1,1,1,1,0,0,410
0,11,0,2,3,5,0,0,0,0,0,0,410
0,11,0,2,3,5,0,0,0,1,0,0,410
0,11,0,2,3,5,0,0,1,0,0,0,410
0,11,0,2,3,5,0,0,1,1,0,0,410
0,11,0,2,3,5,0,1,0,0,0,0,410
0,11,0,2,3,5,0,1,0,1,0,0,410
0,11,0,2,3,5,0,1,1,0,0,0,410
0,11,0,2,3,5,0,1,1,1,0,0,410
0,11,0,2,3,5,1,0,0,0,0,0,410
0,11,0,2,3,5,1,0,0,1,0,0,410
0,11,0,2,3,5,1,0,1,0,0,0,410
0,11,0,2,3,5,1,0,1,1,0,0,410
0,11,0,2,3,5,1,1,0,0,0,0,410
0,11,0,2,3,5,1,1,0,1,0,0,410
0,11,0,2,3,5,1,1,1,0,0,0,410
0,11,0,2,3,5,1,1,1,1,0,0,410
0,11,0,2,4,0,0,0,0,0,0,0,410
0,11,0,2,4,0,0,0,0,1,0,0,410
0,11,0,2,4,0,0,0,1,0,0,0,410
0,11,0,2,4,0,0,0,1,1,0,0,410
0,11,0,2,4,0,0,1,0,0,0,0,410
0,11,0,2,4,0,0,1,0,1,0,0,410
0,11,0,2,4,0,0,1,1,0,0,0,410
0,11,0,2,4,0,0,1,1,1,0,0,410
0,11,0,2,4,0,1,0,0,0,0,0,410
0,11,0,2,4,0,1,0,0,1,0,0,410
0,11,0,2,4,0,1,0,1,0,0,0,410
0,11,0,2,4,0,1,0,1,1,0,0,410
0,11,0,2,4,0,1,1,0,0,0,0,410
0,11,0,2,4,0,1,1,0,1,0,0,410
0,11,0,2,4,0,1,1,1,0,0,0,410
0,11,0,2,4,0,1,1,1,1,0,0,410
0,11,0,2,4,1,0,0,0,0,0,0,410
0,11,0,2,4,1,0,0,0,1,0,0,410
0,11,0,2,4,1,0,0,1,0,0,0,410
0,11,0,2,4,1,0,0,1,1,0,0,410
0,11,0,2,4,1,0,1,0,0,0,0,410
0,11,0,2,4,1,0,1,0,1,0,0,410
0,11,0,2,4,1,0,1,1,0,0,0,410
0,11,0,2,4,1,0,1,1,1,0,0,410
0,11,0,2,4,1,1,0,0,0,0,0,410
0,11,0,2,4,1,1,0,0,1,0,0,410
0,11,0,2,4,1,1,0,1,0,0,0,410
0,11,0,2,4,1,1,0,1,1,0,0,410
0,11,0,2,4,1,1,1,0,0,0,0,410
0,11,0,2,4,1,1,1,0,1,0,0,410
0,11,0,2,4,1,1,1,1,0,0,0,410
0,11,0,2,4,1,1,1,1,1,0,0,410
0,11,0,2,4,2,0,0,0,0,0,0,410
0,11,0,2,4,2,0,0,0,1,0,0,410
0,11,0,2,4,2,0,0,1,0,0,0,410
0,11,0,2,4,2,0,0,1,1,0,0,410
0,11,0,2,4,2,0,1,0,0,0,0,410
0,11,0,2,4,2,0,1,0,1,0,0,410
0,11,0,2,4,2,0,1,1,0,0,0,410
0,11,0,2,4,2,0,1,1,1,0,0,410
0,11,0,2,4,2,1,0,0,0,0,0,410
0,11,0,2,4,2,1,0,0,1,0,0,410
0,11,0,2,4,2,1,0,1,0,0,0,410
0,11,0,2,4,2,1,0,1,1,0,0,410
0,11,0,2,4,2,1,1,0,0,0,0,410
0,11,0,2,4,2,1,1,0,1,0,0,410
0,11,0,2,4,2,1,1,1,0,0,0,410
0,11,0,2,4,2,1,1,1,1,0,0,410
0,11,0,2,4,3,0,0,0,0,0,0,410
0,11,0,2,4,3,0,0,0,1,0,0,410
0,11,0,2,4,3,0,0,1,0,0,0,410
0,11,0,2,4,3,0,0,1,1,0,0,410
0,11,0,2,4,3,0,1,0,0,0,0,410
0,11,0,2,4,3,0,1,0,1,0,0,410
0,11,0,2,4,3,0,1,1,0,0,0,410
0,11,0,2,4,3,0,1,1,1,0,0,410
0,11,0,2,4,3,1,0,0,0,0,0,410
0,11,0,2,4,3,1,0,0,1,0,0,410
0,11,0,2,4,3,1,0,1,0,0,0,410
0,11,0,2,4,3,1,0,1,1,0,0,410
0,11,0,2,4,3,1,1,0,0,0,0,410
0,11,0,2,4,3,1,1,0,1,0,0,410
0,11,0,2,4,3,1,1,1,0,0,0,410
0,11,0,2,4,3,1,1,1,1,0,0,410
0,11,0,2,4,4,0,0,0,0,0,0,410
0,11,0,2,4,4,0,0,0,1,0,0,410
0,11,0,2,4,4,0,0,1,0,0,0,410
0,11,0,2,4,4,0,0,1,1,0,0,410
0,11,0,2,4,4,0,1,0,0,0,0,410
0,11,0,2,4,4,0,1,0,1,0,0,410
0,11,0,2,4,4,0,1,1,0,0,0,410
0,11,0,2,4,4,0,1,1,1,0,0,410
0,11,0,2,4,4,1,0,0,0,0,0,410
0,11,0,2,4,4,1,0,0,1,0,0,410
0,11,0,2,4,4,1,0,1,0,0,0,410
0,11,0,2,4,4,1,0,1,1,0,0,410
0,11,0,2,4,4,1,1,0,0,0,0,410
0,11,0,2,4,4,1,1,0,1,0,0,410
0,11,0,2,4,4,1,1,1,0,0,0,410
0,11,0,2,4,4,1,1,1,1,0,0,410
0,11,0,2,4,5,0,0,0,0,0,0,410
0,11,0,2,4,5,0,0,0,1,0,0,410
0,11,0,2,4,5,0,0,1,0,0,0,410
0,11,0,2,4,5,0,0,1,1,0,0,410
0,11,0,2,4,5,0,1,0,0,0,0,410
0,11,0,2,4,5,0,1,0,1,0,0,410
0,11,0,2,4,5,0,1,1,0,0,0,410
0,11,0,2,4,5,0,1,1,1,0,0,410
0,11,0,2,4,5,1,0,0,0,0,0,410
0,11,0,2,4,5,1,0,0,1,0,0,410
0,11,0,2,4,5,1,0,1,0,0,0,410
0,11,0,2,4,5,1,0,1,1,0,0,410
0,11,0,2,4,5,1,1,0,0,0,0,410
0,11,0,2,4,5,1,1,0,1,0,0,410
0,11,0,2,4,5,1,1,1,0,0,0,410
0,11,0,2,4,5,1,1,1,1,0,0,410
0,11,0,2,5,0,0,0,0,0,0,0,410
0,11,0,2,5,0,0,0,0,1,0,0,410
0,11,0,2,5,0,0,0,1,0,0,0,410
0,11,0,2,5,0,0,0,1,1,0,0,410
0,11,0,2,5,0,0,1,0,0,0,0,410
0,11,0,2,5,0,0,1,0,1,0,0,410
0,11,0,2,5,0,0,1,1,0,0,0,410
0,11,0,2,5,0,0,1,1,1,0,0,410
0,11,0,2,5,0,1,0,0,0,0,0,410
0,11,0,2,5,0,1,0,0,1,0,0,410
0,11,0,2,5,0,1,0,1,0,0,0,410
0,11,0,2,5,0,1,0,1,1,0,0,410
0,11,0,2,5,0,1,1,0,0,0,0,410
0,11,0,2,5,0,1,1,0,1,0,0,410
0,11,0,2,5,0,1,1,1,0,0,0,410
0,11,0,2,5,0,1,1,1,1,0,0,410
0,11,0,2,5,1,0,0,0,0,0,0,410
0,11,0,2,5,1,0,0,0,1,0,0,410
0,11,0,2,5,1,0,0,1,0,0,0,410
0,11,0,2,5,1,0,0,1,1,0,0,410
0,11,0,2,5,1,0,1,0,0,0,0,410
0,11,0,2,5,1,0,1,0,1,0,0,410
0,11,0,2,5,1,0,1,1,0,0,0,410
0,11,0,2,5,1,0,1,1,1,0,0,410
0,11,0,2,5,1,1,0,0,0,0,0,410
0,11,0,2,5,1,1,0,0,1,0,0,410
0,11,0,2,5,1,1,0,1,0,0,0,410
0,11,0,2,5,1,1,0,1,1,0,0,410
0,11,0,2,5,1,1,1,0,0,0,0,410
0,11,0,2,5,1,1,1,0,1,0,0,410
0,11,0,2,5,1,1,1,1,0,0,0,410
0,11,0,2,5,1,1,1,1,1,0,0,410
0,11,0,2,5,2,0,0,0,0,0,0,410
0,11,0,2,5,2,0,0,0,1,0,0,410
0,11,0,2,5,2,0,0,1,0,0,0,410
0,11,0,2,5,2,0,0,1,1,0,0,410
0,11,0,2,5,2,0,1,0,0,0,0,410
0,11,0,2,5,2,0,1,0,1,0,0,410
0,11,0,2,5,2,0,1,1,0,0,0,410
0,11,0,2,5,2,0,1,1,1,0,0,410
0,11,0,2,5,2,1,0,0,0,0,0,410
0,11,0,2,5,2,1,0,0,1,0,0,410
0,11,0,2,5,2,1,0,1,0,0,0,410
0,11,0,2,5,2,1,0,1,1,0,0,410
0,11,0,2,5,2,1,1,0,0,0,0,410
0,11,0,2,5,2,1,1,0,1,0,0,410
0,11,0,2,5,2,1,1,1,0,0,0,410
0,11,0,2,5,2,1,1,1,1,0,0,410
0,11,0,2,5,3,0,0,0,0,0,0,410
0,11,0,2,5,3,0,0,0,1,0,0,410
0,11,0,2,5,3,0,0,1,0,0,0,410
0,11,0,2,5,3,0,0,1,1,0,0,410
0,11,0,2,5,3,0,1,0,0,0,0,410
0,11,0,2,5,3,0,1,0,1,0,0,410
0,11,0,2,5,3,0,1,1,0,0,0,410
0,11,0,2,5,3,0,1,1,1,0,0,410
0,11,0,2,5,3,1,0,0,0,0,0,410
0,11,0,2,5,3,1,0,0,1,0,0,410
0,11,0,2,5,3,1,0,1,0,0,0,410
0,11,0,2,5,3,1,0,1,1,0,0,410
0,11,0,2,5,3,1,1,0,0,0,0,410
0,11,0,2,5,3,1,1,0,1,0,0,410
0,11,0,2,5,3,1,1,1,0,0,0,410
0,11,0,2,5,3,1,1,1,1,0,0,410
0,11,0,2,5,4,0,0,0,0,0,0,410
0,11,0,2,5,4,0,0,0,1,0,0,410
0,11,0,2,5,4,0,0,1,0,0,0,410
0,11,0,2,5,4,0,0,1,1,0,0,410
0,11,0,2,5,4,0,1,0,0,0,0,410
0,11,0,2,5,4,0,1,0,1,0,0,410
0,11,0,2,5,4,0,1,1,0,0,0,410
0,11,0,2,5,4,0,1,1,1,0,0,410
0,11,0,2,5,4,1,0,0,0,0,0,410
0,11,0,2,5,4,1,0,0,1,0,0,410
0,11,0,2,5,4,1,0,1,0,0,0,410
0,11,0,2,5,4,1,0,1,1,0,0,410
0,11,0,2,5,4,1,1,0,0,0,0,410
0,11,0,2,5,4,1,1,0,1,0,0,410
0,11,0,2,5,4,1,1,1,0,0,0,410
0,11,0,2,5,4,1,1,1,1,0,0,410
0,11,0,2,5,5,0,0,0,0,0,0,410
0,11,0,2,5,5,0,0,0,1,0,0,410
0,11,0,2,5,5,0,0,1,0,0,0,410
0,11,0,2,5,5,0,0,1,1,0,0,410
0,11,0,2,5,5,0,1,0,0,0,0,410
0,11,0,2,5,5,0,1,0,1,0,0,410
0,11,0,2,5,5,0,1,1,0,0,0,410
0,11,0,2,5,5,0,1,1,1,0,0,410
0,11,0,2,5,5,1,0,0,0,0,0,410
0,11,0,2,5,5,1,0,0,1,0,0,410
0,11,0,2,5,5,1,0,1,0,0,0,410
0,11,0,2,5,5,1,0,1,1,0,0,410
0,11,0,2,5,5,1,1,0,0,0,0,410
0,11,0,2,5,5,1,1,0,1,0,0,410
0,11,0,2,5,5,1,1,1,0,0,0,410
0,11,0,2,5,5,1,1,1,1,0,0,410
0,11,0,3,0,0,0,0,0,0,1424.30448,0,410
0,11,0,3,0,0,0,0,0,1,0,0,410
0,11,0,3,0,0,0,0,1,0,147.77552,0,410
0,11,0,3,0,0,0,0,1,1,0,0,410
0,11,0,3,0,0,0,1,0,0,0,0,410
0,11,0,3,0,0,0,1,0,1,0,0,410
0,11,0,3,0,0,0,1,1,0,0,0,410
0,11,0,3,0,0,0,1,1,1,0,0,410
0,11,0,3,0,0,1,0,0,0,0,0,410
0,11,0,3,0,0,1,0,0,1,0,0,410
0,11,0,3,0,0,1,0,1,0,0,0,410
0,11,0,3,0,0,1,0,1,1,0,0,410
0,11,0,3,0,0,1,1,0,0,0,0,410
0,11,0,3,0,0,1,1,0,1,0,0,410
0,11,0,3,0,0,1,1,1,0,0,0,410
0,11,0,3,0,0,1,1,1,1,0,0,410
0,11,0,3,0,1,0,0,0,0,0,0,410
0,11,0,3,0,1,0,0,0,1,0,0,410
0,11,0,3,0,1,0,0,1,0,0,0,410
0,11,0,3,0,1,0,0,1,1,0,0,410
0,11,0,3,0,1,0,1,0,0,0,0,410
0,11,0,3,0,1,0,1,0,1,0,0,410
0,11,0,3,0,1,0,1,1,0,0,0,410
0,11,0,3,0,1,0,1,1,1,0,0,410
0,11,0,3,0,1,1,0,0,0,0,0,410
0,11,0,3,0,1,1,0,0,1,0,0,410
0,11,0,3,0,1,1,0,1,0,0,0,410
0,11,0,3,0,1,1,0,1,1,0,0,410
0,11,0,3,0,1,1,1,0,0,0,0,410
0,11,0,3,0,1,1,1,0,1,0,0,410
0,11,0,3,0,1,1,1,1,0,0,0,410
0,11,0,3,0,1,1,1,1,1,0,0,410
0,11,0,3,0,2,0,0,0,0,0,0,410
0,11,0,3,0,2,0,0,0,1,0,0,410
0,11,0,3,0,2,0,0,1,0,0,0,410
0,11,0,3,0,2,0,0,1,1,0,0,410
0,11,0,3,0,2,0,1,0,0,0,0,410
0,11,0,3,0,2,0,1,0,1,0,0,410
0,11,0,3,0,2,0,1,1,0,0,0,410
0,11,0,3,0,2,0,1,1,1,0,0,410
0,11,0,3,0,2,1,0,0,0,0,0,410
0,11,0,3,0,2,1,0,0,1,0,0,410
0,11,0,3,0,2,1,0,1,0,0,0,410
0,11,0,3,0,2,1,0,1,1,0,0,410
0,11,0,3,0,2,1,1,0,0,0,0,410
0,11,0,3,0,2,1,1,0,1,0,0,410
0,11,0,3,0,2,1,1,1,0,0,0,410
0,11,0,3,0,2,1,1,1,1,0,0,410
0,11,0,3,0,3,0,0,0,0,0,0,410
0,11,0,3,0,3,0,0,0,1,0,0,410
0,11,0,3,0,3,0,0,1,0,0,0,410
0,11,0,3,0,3,0,0,1,1,0,0,410
0,11,0,3,0,3,0,1,0,0,0,0,410
0,11,0,3,0,3,0,1,0,1,0,0,410
0,11,0,3,0,3,0,1,1,0,0,0,410
0,11,0,3,0,3,0,1,1,1,0,0,410
0,11,0,3,0,3,1,0,0,0,0,0,410
0,11,0,3,0,3,1,0,0,1,0,0,410
0,11,0,3,0,3,1,0,1,0,0,0,410
0,11,0,3,0,3,1,0,1,1,0,0,410
0,11,0,3,0,3,1,1,0,0,0,0,410
0,11,0,3,0,3,1,1,0,1,0,0,410
0,11,0,3,0,3,1,1,1,0,0,0,410
0,11,0,3,0,3,1,1,1,1,0,0,410
0,11,0,3,0,4,0,0,0,0,0,0,410
